# CountryCode	Coordinates	TimezoneId
AD	+4230+00131	Europe/Andorra
TR	+4101+02858	Europe/Istanbul
TT	+1039-06131	America/Port_of_Spain
TW	+2503+12130	Asia/Taipei
TZ	-0648+03917	Africa/Dar_es_Salaam
UA	+5026+03031	Europe/Kyiv
UG	+0019+03225	Africa/Kampala
US	+404251-0740023	America/New_York
UY	-3453-05611	America/Montevideo
UZ	+3940+06648	Asia/Tashkent
VE	+1030-06656	America/Caracas
VN	+1045+10640	Asia/Ho_Chi_Minh
YE	+1230+04412	Asia/Aden
ZA	-2615+02800	Africa/Johannesburg
ZW	-1750+03103	Africa/Harare
